Species,Rank,Factor Score,Recruitment Variation,Mean Catch Age,Mean Maximum Age,Recruitment Adjustment,Importance Adjustment,Ecosystem Adjustment,Total Adjustment,Adjusted Maximum Age,Target Assessment Frequency,Last Assessment Year,Years Since Assessment,Years Past Target Frequency,Ten Years or Greater,Less Than 6 Years Update,Management Group
Arrowtooth flounder,13,3.6,0.8,8.1,25,0,0,-0.2,-0.2,20,4,2017,8,4,0,0,species specific
Aurora rockfish,9,4.5,0.5,31.1,154,0,0.2,0.2,0.4,215.6,10,2013,12,2,3,0,minor slope rockfish
Bank rockfish,13,3.6,NA,NA,85,0,0.2,0,0.2,102,10,NA,NA,4,NA,0,minor slope rockfish
Big skate,42,2.7,0,4.3,12,0.2,-0.2,-0.2,-0.2,9.6,4,2019,6,2,0,1,species specific
Black rockfish,53,0,0.6,8.1,28,0,-0.2,-0.2,-0.4,16.8,4,2023,2,0,0,0,species specific
Blackgill rockfish,53,0,0.5,30.2,86,0,0,0.2,0.2,103.2,10,2017,8,0,0,0,minor slope rockfish
Blue/Deacon rockfish,44,1.8,0.5,9.3,39.5,0,-0.2,0,-0.2,31.6,6,2017,8,2,0,0,minor nearshore rockfish
Bocaccio,13,3.6,1,3,30,-0.2,-0.2,-0.2,-0.6,12,4,2017,8,4,0,0,species specific
Brown rockfish,3,8.2,NA,NA,39,0,-0.2,0,-0.2,31.2,6,2013,12,6,3,0,minor nearshore rockfish
Cabezon,44,1.8,0.5,4.7,23,0,-0.2,-0.2,-0.4,13.8,4,2019,6,2,0,0,other groundfish
California scorpionfish,13,3.6,0.6,7,23,0,0,-0.2,-0.2,18.4,4,2017,8,4,0,0,species specific
Canary rockfish,47,0.9,0.5,9.6,69,0,-0.2,0,-0.2,55.2,8,2023,2,0,0,1,species specific
Chilipepper,3,8.2,1,9.1,34,-0.2,0,-0.2,-0.4,20.4,4,2015,10,6,3,0,species specific
China rockfish,9,4.5,0.5,19.3,77,0,0,0,0,77,8,2015,10,2,3,0,minor nearshore rockfish
Copper rockfish,53,0,0.275,9.2,50,0.2,0,0,0.2,60,8,2023,2,0,0,0,minor nearshore rockfish
Cowcod,47,0.9,0,16,61,0.2,0.2,0.2,0.6,97.6,10,2019,6,0,0,1,minor shelf rockfish
Curlfin sole,13,3.6,NA,NA,10,0,0.2,0.2,0.4,14,4,NA,NA,4,NA,0,other flatfish
Darkblotched rockfish,53,0,0.75,9.4,100,0,0,0,0,100,10,2017,8,0,0,0,species specific
Dover sole,47,0.9,0.35,13.7,50,0,-0.2,-0.2,-0.4,30,6,2021,4,0,0,1,species specific
English sole,1,10,NA,NA,21,0,0,-0.2,-0.2,16.8,4,2013,12,8,3,0,species specific
Flag rockfish,13,3.6,NA,NA,38,0,0.2,0.2,0.4,53.2,8,NA,NA,4,NA,0,minor shelf rockfish
Flathead sole,13,3.6,NA,NA,27,0,0.2,0.2,0.4,37.8,6,NA,NA,4,NA,0,other flatfish
Gopher/Black and Yellow rockfish,47,0.9,0.5,11.8,28,0,-0.2,0,-0.2,22.4,6,2019,6,0,0,1,minor nearshore rockfish
Grass rockfish,13,3.6,NA,NA,23,0,0,0.2,0.2,27.6,6,NA,NA,4,NA,0,minor nearshore rockfish
